id,left,top,right,bottom,X,Y,SHETRAN_ID,LC_0,LC_1,LC_2,LC_3,LC_4,LC_5,LC_6,LC_7,LC_9,LC_10,LC_11,LC_12,LC_14,LC_20,LC_21
127,395775.000099999830127,577775.000099999830127,400775.000099999830127,572775.000099999830127,398275.000099999830127,575275.000099999713711,"0","0","2101","213","6428","29216","0","0","0","132","0","0","0","1658","0","252"
128,395775.000099999830127,572775.000099999830127,400775.000099999830127,567775.000099999830127,398275.000099999830127,570275.000099999713711,"0","0","1286","743","6200","27601","0","0","2839","326","165","0","186","0","0","654"
129,395775.000099999830127,567775.000099999830127,400775.000099999830127,562775.000099999830127,398275.000099999830127,565275.000099999713711,"0","0","7522","290","15177","13403","0","0","106","0","0","0","0","749","0","2753"
130,395775.000099999830127,562775.000099999830127,400775.000099999830127,557775.000099999830127,398275.000099999830127,560275.000099999713711,"0","0","11901","4110","6316","17059","0","0","0","0","0","0","0","12","0","602"
131,395775.000099999830127,557775.000099999830127,400775.000099999830127,552775.000099999830127,398275.000099999830127,555275.000099999713711,"0","0","2214","12187","438","15945","0","0","1454","6736","416","0","0","9","0","601"
132,395775.000099999830127,552775.000099999830127,400775.000099999830127,547775.000099999830127,398275.000099999830127,550275.000099999713711,"-9999","0","1823","3112","0","11192","0","0","7366","16100","67","0","0","196","0","144"
133,395775.000099999830127,547775.000099999830127,400775.000099999830127,542775.000099999830127,398275.000099999830127,545275.000099999713711,"-9999","0","0","49","8","715","0","0","4709","33782","0","733","0","4","0","0"
134,395775.000099999830127,542775.000099999830127,400775.000099999830127,537775.000099999830127,398275.000099999830127,540275.000099999713711,"-9999","17800","647","1111","0","2880","0","0","8940","7448","191","849","8","0","0","126"
135,395775.000099999830127,537775.000099999830127,400775.000099999830127,532775.000099999830127,398275.000099999830127,535275.000099999713711,"-9999","40000","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
136,400775.000099999830127,607775.000099999830127,405775.000099999830127,602775.000099999830127,403275.000099999830127,605275.000099999713711,"-9999","40000","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
137,400775.000099999830127,602775.000099999830127,405775.000099999830127,597775.000099999830127,403275.000099999830127,600275.000099999713711,"-9999","40000","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
138,400775.000099999830127,597775.000099999830127,405775.000099999830127,592775.000099999830127,403275.000099999830127,595275.000099999713711,"-9999","40000","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
139,400775.000099999830127,592775.000099999830127,405775.000099999830127,587775.000099999830127,403275.000099999830127,590275.000099999713711,"-9999","40000","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
140,400775.000099999830127,587775.000099999830127,405775.000099999830127,582775.000099999830127,403275.000099999830127,585275.000099999713711,"-9999","40000","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
